Miasto,Data_Pomiaru,Temperatura,Wilgotosc,Cisnienie,Wiatr,Deszcz,Snieg,Zachmurzenie,Rok,Miesiac
Krakow,7/12/2023,22,54,979,13,0,0,92,2023,7
Warszawa,10/29/2021,9,64,1009,21,0,0,78,2021,10
Krakow,6/16/2023,15,71,980,6,0,0,99,2023,6
Krakow,10/30/2021,9,59,981,15,0,0,77,2021,10
Warszawa,12/17/2021,3,93,1015,32,0,0,99,2021,12
Warszawa,11/8/2022,9,89,1006,19,0,0,73,2022,11
Krakow,11/8/2022,7,84,983,11,0,0,30,2022,11
Warszawa,5/12/2023,14,51,1012,26,0,0,3,2023,5
Warszawa,6/15/2023,16,72,1003,7,1,0,52,2023,6
Krakow,6/15/2023,14,74,981,4,0,0,14,2023,6
Krakow,12/18/2021,0,93,993,24,2,0,82,2021,12
Krakow,9/7/2021,13,71,989,7,0,0,47,2021,9
Warszawa,7/19/2021,20,63,1003,15,0,0,2,2021,7
Warszawa,9/7/2021,13,60,1013,9,0,0,43,2021,9
Krakow,4/10/2021,9,65,980,15,0,0,40,2021,4
Warszawa,10/30/2021,10,54,1005,23,0,0,75,2021,10
Krakow,9/8/2021,16,65,989,9,0,0,19,2021,9
Krakow,7/20/2021,16,78,981,11,1,0,73,2021,7
Warszawa,5/14/2022,12,79,1005,25,1,0,78,2022,5
Krakow,11/7/2022,7,85,982,16,0,0,60,2022,11
Warszawa,11/7/2022,8,87,1006,19,0,0,84,2022,11
Krakow,7/11/2023,19,71,980,17,2,0,44,2023,7
Warszawa,7/20/2021,19,62,1003,13,0,0,47,2021,7
Krakow,7/21/2021,17,72,984,17,0,0,47,2021,7
Krakow,1/5/2021,0,98,974,13,8,0,93,2021,1
Krakow,9/27/2022,11,79,964,12,4,0,50,2022,9
Krakow,5/12/2023,12,66,983,24,0,0,46,2023,5
Warszawa,3/24/2022,6,64,1015,17,0,0,1,2022,3
Krakow,3/25/2022,7,59,990,7,0,0,0,2022,3
Warszawa,9/27/2022,11,85,989,16,2,0,75,2022,9
Warszawa,7/11/2023,20,56,1004,12,0,0,47,2023,7
Warszawa,4/10/2021,9,71,1005,12,0,0,71,2021,4
Warszawa,5/11/2023,12,53,1010,25,0,0,0,2023,5
Krakow,5/11/2023,12,64,982,19,0,0,9,2023,5
Krakow,4/11/2021,10,71,980,17,3,0,89,2021,4
Warszawa,11/6/2022,6,94,1009,11,0,0,98,2022,11
Warszawa,9/26/2022,12,74,995,9,0,0,26,2022,9
Krakow,9/26/2022,11,81,971,6,0,0,60,2022,9
Warszawa,2/23/2021,3,99,1019,15,0,0,96,2021,2
Krakow,2/24/2021,7,79,997,13,0,0,45,2021,2
Warszawa,1/5/2021,1,98,1000,25,14,0,100,2021,1
Krakow,1/6/2021,0,93,974,10,0,0,64,2021,1
Krakow,11/6/2022,6,91,985,10,0,0,75,2022,11
Krakow,5/15/2022,14,64,983,13,0,0,40,2022,5
Warszawa,12/18/2021,1,96,1014,26,3,0,100,2021,12
Warszawa,7/21/2021,19,63,1007,18,0,0,71,2021,7
Krakow,7/22/2021,18,70,985,7,0,0,78,2021,7
Warszawa,5/15/2022,13,63,1007,16,0,0,35,2022,5
Krakow,10/31/2021,8,71,980,10,0,0,28,2021,10
Warszawa,7/22/2021,19,66,1008,12,0,0,67,2021,7
Krakow,7/23/2021,19,68,981,6,0,0,66,2021,7
Krakow,5/10/2023,11,63,982,17,0,0,36,2023,5
Krakow,5/16/2022,13,62,985,7,0,0,31,2022,5
Krakow,12/19/2021,2,94,978,34,6,0,100,2021,12
Warszawa,7/10/2023,21,46,1007,10,0,0,40,2023,7
Krakow,7/10/2023,21,52,982,8,0,0,23,2023,7
Warszawa,4/11/2021,12,69,1005,21,0,0,67,2021,4
Warszawa,5/16/2022,13,51,1008,8,0,0,30,2022,5
Krakow,4/12/2021,9,82,981,13,4,0,68,2021,4
Krakow,5/17/2022,12,76,983,11,1,0,86,2022,5
Warszawa,12/19/2021,2,92,998,34,3,0,89,2021,12
Krakow,12/20/2021,0,93,980,30,7,38,96,2021,12
Warszawa,3/25/2022,8,61,1014,16,0,0,0,2022,3
Krakow,3/26/2022,9,65,991,25,1,0,30,2022,3
Warszawa,9/8/2021,16,64,1011,8,0,0,21,2021,9
Krakow,9/9/2021,15,62,985,8,0,0,5,2021,9
Warszawa,7/23/2021,19,71,1006,10,0,0,64,2021,7
Krakow,7/24/2021,20,64,979,8,0,0,43,2021,7
Warszawa,12/20/2021,-1,90,1002,28,2,0,56,2021,12
Warszawa,1/6/2021,1,95,1000,13,3,0,100,2021,1
Warszawa,4/12/2021,11,72,1006,20,0,0,70,2021,4
Warszawa,7/24/2021,21,61,1004,6,0,0,45,2021,7
Krakow,12/21/2021,-3,91,989,14,0,2,74,2021,12
Warszawa,9/9/2021,17,63,1007,15,0,0,4,2021,9
Warszawa,5/10/2023,11,53,1010,26,0,0,0,2023,5
Warszawa,10/31/2021,10,62,1004,21,0,0,20,2021,10
Krakow,1/7/2021,0,91,974,15,0,0,86,2021,1
Warszawa,5/9/2023,10,53,1015,16,0,0,2,2023,5
Krakow,9/25/2022,11,67,977,6,0,0,74,2022,9
Warszawa,3/22/2023,8,85,1001,19,0,0,66,2023,3
Krakow,11/1/2021,6,67,975,13,0,0,1,2021,11
Krakow,3/22/2023,8,77,977,12,0,0,43,2023,3
Warszawa,5/31/2021,13,60,1009,15,0,0,26,2021,5
Warszawa,8/20/2022,24,54,1001,15,0,0,58,2022,8
Krakow,8/20/2022,22,69,975,6,1,0,85,2022,8
Krakow,7/25/2021,21,53,978,15,2,0,49,2021,7
Krakow,8/19/2022,26,52,976,12,0,0,49,2022,8
Warszawa,2/24/2021,5,99,1020,18,0,0,99,2021,2
Krakow,4/13/2021,1,93,986,20,15,0,100,2021,4
Krakow,6/1/2021,11,68,983,6,0,0,39,2021,6
Warszawa,9/25/2022,10,65,1001,7,0,0,11,2022,9
Warszawa,3/26/2022,7,78,1011,33,0,0,49,2022,3
Warszawa,7/25/2021,23,55,1003,17,0,0,86,2021,7
Krakow,7/26/2021,22,66,977,11,2,0,24,2021,7
Warszawa,5/17/2022,12,44,1009,20,0,0,59,2022,5
Krakow,5/18/2022,9,54,990,8,0,0,1,2022,5
Warszawa,4/13/2021,3,86,1011,25,6,0,98,2021,4
Krakow,4/14/2021,1,94,984,20,10,0,100,2021,4
Warszawa,12/21/2021,-4,86,1011,20,0,0,29,2021,12
Krakow,12/22/2021,-4,88,989,8,0,0,72,2021,12
Warszawa,11/1/2021,7,77,997,23,0,0,4,2021,11
Krakow,11/2/2021,6,90,967,9,14,0,96,2021,11
Warszawa,3/21/2023,7,86,1005,11,1,0,94,2023,3
Krakow,9/10/2021,15,61,984,7,0,0,12,2021,9
Warszawa,5/16/2023,13,81,1001,16,0,0,83,2023,5
Krakow,3/27/2022,4,50,994,7,0,0,60,2022,3
Krakow,2/25/2021,7,79,993,14,0,0,24,2021,2
Krakow,11/5/2022,8,92,980,14,10,0,100,2022,11
Warszawa,1/7/2021,0,94,998,15,0,0,100,2021,1
Krakow,1/8/2021,-1,90,977,15,0,0,22,2021,1
Warszawa,8/19/2022,25,57,1001,19,0,0,51,2022,8
Warszawa,2/25/2021,7,95,1015,18,0,0,35,2021,2
Krakow,2/26/2021,8,86,989,21,0,0,27,2021,2
Krakow,3/21/2023,7,88,980,9,1,0,60,2023,3
Warszawa,3/27/2022,4,54,1018,20,0,0,57,2022,3
Krakow,3/20/2023,8,72,980,12,1,0,63,2023,3
Warszawa,6/1/2021,14,63,1006,8,0,0,74,2021,6
Krakow,6/2/2021,12,67,988,11,0,0,37,2021,6
Warszawa,9/10/2021,17,56,1005,15,0,0,47,2021,9
Krakow,9/11/2021,15,59,983,8,0,0,14,2021,9
Warszawa,4/14/2021,2,94,1009,24,12,0,100,2021,4
Krakow,4/15/2021,1,96,982,22,7,0,100,2021,4
Krakow,3/28/2022,9,48,984,21,0,0,32,2022,3
Warszawa,11/2/2021,6,81,992,19,1,0,82,2021,11
Warszawa,4/15/2021,4,98,1006,16,10,0,100,2021,4
Warszawa,3/20/2023,8,80,1004,13,0,0,86,2023,3
Krakow,7/13/2023,19,84,978,10,7,0,90,2023,7
Warszawa,5/18/2022,10,48,1016,13,0,0,0,2022,5
Krakow,5/19/2022,13,56,992,8,0,0,31,2022,5
Warszawa,5/19/2022,15,43,1012,16,0,0,31,2022,5
Warszawa,1/8/2021,0,95,1001,13,0,0,99,2021,1
Krakow,1/9/2021,0,88,984,16,0,0,54,2021,1
Warszawa,11/3/2021,7,94,995,18,3,0,83,2021,11
Krakow,11/4/2021,10,84,970,20,1,0,95,2021,11
Warszawa,1/9/2021,0,94,1006,19,1,0,100,2021,1
Krakow,1/10/2021,-2,85,985,6,0,0,43,2021,1
Warszawa,12/22/2021,-4,92,1014,14,0,0,52,2021,12
Krakow,4/16/2021,1,96,983,24,8,0,100,2021,4
Krakow,12/23/2021,-5,88,981,12,0,0,84,2021,12
Krakow,3/19/2023,7,60,981,7,0,0,66,2023,3
Warszawa,9/11/2021,18,53,1004,14,0,0,32,2021,9
Warszawa,7/26/2021,21,72,1001,15,5,0,66,2021,7
Warszawa,3/28/2022,10,60,1004,29,0,0,60,2022,3
Krakow,7/27/2021,22,69,980,9,3,0,27,2021,7
Krakow,5/20/2022,19,54,983,21,0,0,54,2022,5
Warszawa,11/5/2022,8,93,1002,14,8,0,100,2022,11
Warszawa,6/2/2021,15,59,1011,14,0,0,36,2021,6
Krakow,6/3/2021,13,69,991,5,0,0,30,2021,6
Warszawa,3/19/2023,8,67,1006,13,0,0,67,2023,3
Warszawa,6/3/2021,16,61,1013,11,0,0,63,2021,6
Warszawa,5/20/2022,19,56,1004,20,0,0,54,2022,5
Krakow,5/21/2022,17,56,980,32,0,0,64,2022,5
Warszawa,9/24/2022,10,63,1003,8,0,0,74,2022,9
Warszawa,12/23/2021,-4,93,1004,22,1,14,78,2021,12
Krakow,12/24/2021,2,96,963,43,5,21,93,2021,12
Krakow,8/18/2022,23,64,978,12,0,0,15,2022,8
Krakow,3/29/2022,9,72,973,16,0,0,57,2022,3
Krakow,9/24/2022,9,64,982,8,0,0,83,2022,9
Krakow,9/23/2022,8,81,984,8,0,0,40,2022,9
Warszawa,7/27/2021,23,64,1001,13,0,0,26,2021,7
Warszawa,2/26/2021,6,96,1012,24,3,0,84,2021,2
Krakow,7/28/2021,24,60,978,10,1,0,45,2021,7
Krakow,2/27/2021,3,94,993,24,0,0,100,2021,2
Warszawa,3/18/2023,5,66,1008,25,0,0,68,2023,3
Warszawa,11/4/2022,8,83,999,24,0,0,94,2022,11
Warszawa,7/9/2023,21,47,1009,13,0,0,10,2023,7
Krakow,7/9/2023,21,44,984,12,0,0,4,2023,7
Warszawa,8/18/2022,23,71,1002,9,0,0,47,2022,8
Krakow,8/17/2022,22,72,976,9,1,0,1,2022,8
Krakow,6/4/2021,16,60,987,7,0,0,17,2021,6
Warszawa,4/16/2021,5,95,1004,18,4,0,99,2021,4
Krakow,4/17/2021,3,88,982,9,0,0,95,2021,4
Warszawa,9/23/2022,9,78,1008,12,0,0,78,2022,9
Warszawa,8/17/2022,21,88,1000,8,4,0,47,2022,8
Warszawa,3/29/2022,6,72,996,18,0,0,79,2022,3
Krakow,11/4/2022,9,71,970,13,2,0,87,2022,11
Warszawa,7/28/2021,24,53,1000,11,1,0,47,2021,7
Warszawa,11/10/2022,8,93,1010,20,2,0,90,2022,11
Warszawa,2/27/2021,3,92,1016,29,0,0,90,2021,2
Krakow,7/29/2021,21,65,978,15,6,0,39,2021,7
Krakow,3/18/2023,5,60,984,9,0,0,69,2023,3
Warszawa,5/21/2022,14,79,998,35,3,0,89,2022,5
Krakow,9/12/2021,17,70,980,7,0,0,22,2021,9
Krakow,5/22/2022,12,68,980,20,0,0,81,2022,5
Krakow,2/28/2021,2,88,997,20,0,0,79,2021,2
Krakow,3/17/2023,3,57,985,13,0,0,42,2023,3
Warszawa,3/17/2023,3,74,1013,19,0,0,46,2023,3
Krakow,8/16/2022,21,72,974,6,2,0,15,2022,8
Warszawa,8/16/2022,22,83,998,10,7,0,85,2022,8
Krakow,3/30/2022,7,73,969,8,2,0,92,2022,3
Warszawa,7/29/2021,22,65,1000,17,10,0,44,2021,7
Warszawa,2/28/2021,1,96,1019,24,0,0,93,2021,2
Krakow,3/1/2021,1,92,997,8,0,0,70,2021,3
Krakow,3/16/2023,1,76,986,11,0,0,39,2023,3
Krakow,7/30/2021,22,52,977,14,0,0,0,2021,7
Warszawa,4/17/2021,7,93,1006,8,2,0,92,2021,4
Warszawa,11/4/2021,9,82,994,31,0,0,90,2021,11
Krakow,11/5/2021,6,76,983,22,0,0,44,2021,11
Krakow,8/15/2022,22,66,973,8,0,0,23,2022,8
Warszawa,6/4/2021,18,62,1012,7,0,0,38,2021,6
Krakow,6/5/2021,14,81,987,7,2,0,35,2021,6
Warszawa,5/22/2022,12,64,1001,24,0,0,86,2022,5
Warszawa,12/24/2021,0,97,985,25,4,20,100,2021,12
Krakow,12/25/2021,-3,86,974,11,3,4,79,2021,12
Warszawa,7/13/2023,17,87,1002,11,7,0,87,2023,7
Warszawa,1/10/2021,0,94,1011,12,1,0,99,2021,1
Krakow,10/4/2023,13,64,989,25,0,0,62,2023,10
Warszawa,6/5/2021,17,81,1008,9,9,0,49,2021,6
Warszawa,8/15/2022,21,83,998,17,4,0,71,2022,8
Warszawa,3/30/2022,4,80,993,14,2,0,93,2022,3
Krakow,3/31/2022,2,90,964,20,9,0,98,2022,3
Warszawa,12/25/2021,-4,89,998,23,0,0,43,2021,12
Warszawa,9/12/2021,18,82,1003,13,2,0,35,2021,9
Krakow,4/18/2021,6,79,982,10,0,0,96,2021,4
Krakow,9/13/2021,16,85,984,7,0,0,62,2021,9
Krakow,9/22/2022,8,92,985,13,2,0,84,2022,9
Krakow,6/6/2021,16,74,984,5,0,0,5,2021,6
Warszawa,3/1/2021,2,95,1022,15,0,0,100,2021,3
Krakow,5/23/2022,12,64,977,12,0,0,20,2022,5
Krakow,3/2/2021,3,81,996,15,0,0,20,2021,3
Warszawa,10/4/2023,13,71,1009,31,0,0,80,2023,10
Krakow,10/3/2023,17,66,984,16,0,0,28,2023,10
Warszawa,11/5/2021,7,77,1003,33,0,0,72,2021,11
Krakow,11/6/2021,5,78,990,15,0,0,26,2021,11
Warszawa,10/3/2023,19,60,1003,26,0,0,66,2023,10
Krakow,12/26/2021,-7,81,979,12,0,0,4,2021,12
Warszawa,3/16/2023,1,88,1010,15,0,0,36,2023,3
Warszawa,9/13/2021,16,85,1004,15,0,0,68,2021,9
Krakow,9/14/2021,15,81,985,8,0,0,20,2021,9
Warszawa,3/31/2022,2,62,993,26,0,0,99,2022,3
Warszawa,5/23/2022,13,78,1001,10,1,0,59,2022,5
Krakow,5/24/2022,14,75,974,10,1,0,95,2022,5
Krakow,1/11/2021,-3,85,984,6,0,0,35,2021,1
Warszawa,9/22/2022,10,80,1009,14,0,0,82,2022,9
Warszawa,4/18/2021,9,82,1007,8,0,0,81,2021,4
Warszawa,12/26/2021,-7,91,1004,16,0,0,32,2021,12
Krakow,4/19/2021,5,93,982,5,3,0,92,2021,4
Warszawa,10/2/2023,15,62,1011,15,0,0,82,2023,10
Krakow,3/15/2023,2,85,975,20,0,0,99,2023,3
Warszawa,11/6/2021,8,79,1011,32,0,0,95,2021,11
Warszawa,3/15/2023,3,87,999,22,1,0,100,2023,3
Krakow,11/7/2021,5,71,981,21,0,0,38,2021,11
Warszawa,9/21/2022,10,90,1008,20,1,0,89,2022,9
Warszawa,7/30/2021,21,52,998,16,0,0,58,2021,7
Krakow,9/21/2022,9,93,985,19,5,0,98,2022,9
Warszawa,6/6/2021,18,69,1007,13,0,0,21,2021,6
Krakow,10/2/2023,13,70,987,11,0,0,30,2023,10
Warszawa,3/2/2021,2,96,1020,19,0,0,100,2021,3
Krakow,3/3/2021,4,84,991,10,0,0,18,2021,3
Warszawa,8/14/2022,22,72,1000,15,5,0,65,2022,8
Krakow,10/1/2023,11,73,988,11,0,0,62,2023,10
Krakow,8/14/2022,20,85,975,12,3,0,72,2022,8
Warszawa,10/1/2023,15,61,1012,18,0,0,71,2023,10
Warszawa,5/24/2022,15,62,999,19,0,0,75,2022,5
Krakow,4/1/2022,0,96,961,21,15,53,100,2022,4
Krakow,6/7/2021,17,66,983,7,0,0,34,2021,6
Warszawa,11/7/2021,6,78,1001,29,0,0,65,2021,11
Warszawa,9/14/2021,14,81,1007,6,0,0,70,2021,9
Krakow,9/15/2021,16,72,980,10,0,0,39,2021,9
Krakow,11/8/2021,6,80,983,21,0,0,97,2021,11
Warszawa,3/3/2021,2,95,1015,11,0,0,99,2021,3
Krakow,3/4/2021,5,85,980,19,5,0,47,2021,3
Warszawa,9/20/2022,10,93,1003,17,1,0,82,2022,9
Krakow,9/20/2022,9,90,980,16,6,0,94,2022,9
Warszawa,9/30/2023,15,76,1009,19,1,0,92,2023,9
Warszawa,1/11/2021,-1,92,1008,20,0,0,92,2021,1
Warszawa,3/4/2021,3,93,1002,19,1,0,100,2021,3
Krakow,3/14/2023,7,88,964,18,1,0,72,2023,3
Warszawa,9/15/2021,15,72,1006,10,0,0,29,2021,9
Warszawa,6/7/2021,19,59,1007,14,0,0,7,2021,6
Krakow,9/16/2021,19,70,977,8,3,0,75,2021,9
Krakow,12/27/2021,-8,89,979,16,0,0,43,2021,12
Krakow,6/8/2021,17,66,983,7,0,0,3,2021,6
Krakow,7/31/2021,21,60,975,14,0,0,54,2021,7
Warszawa,11/8/2021,7,85,1004,23,4,0,100,2021,11
Krakow,1/12/2021,-2,78,972,20,1,0,49,2021,1
Warszawa,6/8/2021,19,69,1006,12,2,0,35,2021,6
Krakow,6/9/2021,17,73,982,11,2,0,16,2021,6
Warszawa,12/27/2021,-8,91,1006,18,0,0,25,2021,12
Krakow,12/28/2021,-4,92,972,15,0,0,51,2021,12
Warszawa,3/14/2023,9,91,985,30,0,0,93,2023,3
Warszawa,4/1/2022,0,89,991,35,14,39,100,2022,4
Krakow,4/2/2022,0,91,967,15,5,0,100,2022,4
Warszawa,5/25/2022,14,90,1002,16,5,0,92,2022,5
Warszawa,1/12/2021,-1,91,995,27,5,32,67,2021,1
Krakow,1/13/2021,0,90,970,29,4,29,99,2021,1
Krakow,5/26/2022,15,68,982,25,0,0,46,2022,5
Warszawa,8/13/2022,20,77,1006,20,5,0,97,2022,8
Krakow,8/13/2022,17,90,979,11,10,0,99,2022,8
Krakow,9/30/2023,12,80,986,16,4,0,72,2023,9
Krakow,8/12/2022,17,66,985,11,0,0,22,2022,8
Krakow,9/19/2022,8,85,975,16,6,0,94,2022,9
Warszawa,9/19/2022,9,83,996,20,0,0,97,2022,9
Krakow,9/18/2022,8,88,970,25,3,0,83,2022,9
Krakow,3/13/2023,5,89,973,25,0,0,90,2023,3
Warszawa,3/13/2023,4,97,994,30,6,0,97,2023,3
Warszawa,4/19/2021,10,85,1005,13,2,0,46,2021,4
Warszawa,8/12/2022,21,65,1009,15,2,0,49,2022,8
Krakow,4/20/2021,7,76,978,6,0,0,23,2021,4
Warszawa,1/13/2021,0,96,992,21,1,11,85,2021,1
Krakow,1/14/2021,-1,95,972,19,7,52,99,2021,1
Warszawa,6/9/2021,18,69,1006,14,0,0,19,2021,6
Warszawa,7/31/2021,22,53,996,14,0,0,55,2021,7
Krakow,8/1/2021,19,78,971,15,33,0,63,2021,8
Krakow,11/9/2021,5,90,993,10,0,0,76,2021,11
Krakow,6/10/2021,17,66,982,13,0,0,29,2021,6
Warszawa,12/28/2021,-5,93,1000,29,0,0,99,2021,12
Krakow,12/29/2021,0,96,971,8,0,0,95,2021,12
Warszawa,11/9/2021,2,85,1019,12,0,0,41,2021,11
Krakow,11/10/2021,3,81,992,9,0,0,35,2021,11
Krakow,3/5/2021,-1,96,982,17,8,32,76,2021,3
Warszawa,3/12/2023,0,91,998,29,1,0,92,2023,3
Warszawa,4/2/2022,0,94,993,27,8,25,100,2022,4
Krakow,3/12/2023,0,79,976,23,0,0,64,2023,3
Krakow,4/3/2022,0,76,976,20,0,0,93,2022,4
Warszawa,9/16/2021,17,80,1001,15,2,0,86,2021,9
Krakow,9/17/2021,13,95,976,13,20,0,100,2021,9
Warszawa,3/5/2021,0,84,1008,17,0,0,57,2021,3
Warszawa,1/14/2021,-1,93,997,15,0,0,93,2021,1
Warszawa,8/1/2021,19,70,995,12,7,0,93,2021,8
Krakow,8/2/2021,16,77,978,19,4,0,37,2021,8
Warszawa,9/18/2022,10,83,990,21,3,0,100,2022,9
Krakow,3/6/2021,-1,86,991,20,0,0,52,2021,3
Warszawa,12/29/2021,-3,96,997,20,0,0,100,2021,12
Warszawa,9/29/2023,19,48,1009,17,0,0,22,2023,9
Krakow,12/30/2021,1,98,979,20,2,0,99,2021,12
Krakow,9/28/2023,16,57,986,8,0,0,15,2023,9
Krakow,9/17/2022,10,74,970,15,3,0,79,2022,9
Warszawa,9/17/2021,15,91,998,12,2,0,90,2021,9
Warszawa,12/30/2021,0,99,1000,20,1,0,100,2021,12
Warszawa,4/20/2021,11,75,1002,7,2,0,32,2021,4
Warszawa,8/2/2021,16,85,997,22,7,0,78,2021,8
Krakow,4/21/2021,9,71,977,16,0,0,17,2021,4
Krakow,1/15/2021,-5,91,980,18,2,0,79,2021,1
Krakow,9/18/2021,12,89,976,19,5,0,91,2021,9
Warszawa,9/16/2022,14,64,992,26,0,0,35,2022,9
Krakow,9/16/2022,13,73,972,18,0,0,72,2022,9
Warszawa,9/18/2021,10,94,998,15,14,0,97,2021,9
Krakow,9/19/2021,9,92,978,16,1,0,100,2021,9
Krakow,12/31/2021,6,97,981,34,3,0,98,2021,12
Warszawa,6/10/2021,19,61,1005,16,0,0,12,2021,6
Krakow,6/11/2021,17,71,980,12,2,0,25,2021,6
Krakow,8/11/2022,16,67,987,12,0,0,55,2022,8
Warszawa,4/21/2021,10,91,999,18,10,0,56,2021,4
Krakow,8/3/2021,17,66,979,10,0,0,35,2021,8
Krakow,4/22/2021,6,74,979,21,1,0,26,2021,4
Warszawa,1/15/2021,-5,87,1005,18,1,11,80,2021,1
Krakow,1/16/2021,-5,91,979,23,4,22,99,2021,1
Warszawa,9/19/2021,8,87,1002,21,0,0,98,2021,9
Warszawa,3/6/2021,0,83,1015,22,0,0,25,2021,3
Warszawa,4/3/2022,0,71,1000,20,0,0,64,2022,4
Warszawa,9/28/2023,18,56,1009,17,0,0,11,2023,9
Warszawa,12/31/2021,6,99,999,31,15,0,100,2021,12
Warszawa,6/11/2021,18,64,1003,11,2,0,24,2021,6
Krakow,6/12/2021,18,77,977,18,9,0,46,2021,6
Krakow,3/7/2021,0,76,984,26,0,0,42,2021,3
Warszawa,8/3/2021,17,60,1002,14,0,0,18,2021,8
Krakow,8/4/2021,17,73,978,9,1,0,70,2021,8
Warszawa,6/12/2021,17,77,1000,18,19,0,49,2021,6
Krakow,9/20/2021,8,90,983,12,1,0,98,2021,9
Krakow,6/13/2021,13,75,983,31,1,0,63,2021,6
Krakow,1/1/2022,7,97,984,29,9,0,99,2022,1
